
          ============================================================  
                                     NEWTON-X                           
                   Newtonian dynamics close to the crossing seam        
          ============================================================  

                                  www.newtonx.org                       

    Newton-X version 1.4.0 (build 2, 15/August/2013)
    www.newtonx.org
    Contact: barbatti@kofo.mpg.de
-----------------------------------------------------------------------
The Newton-X program is distributed free of charge for non-commercial 
and non-profit uses. You may use the program freely and
adapt the code to your needs. Please, if you have any enhancements. 
share them with us. You are, however, not allowed to re-distribute code 
or binaries in parts or total. Anyone intending to use Newton-X must 
contact us. This program is shipped to the user "as is". There is no 
guarantee that it will work as described. Usage is at your own risk, 
there is no liability taken for any damage or loss of data and/or money.
If you experience problems please tell the developers supplying the
version-number - they are always grateful for any hint, but bear in
mind that there is no kind of official support for Newton-X.

Cite Newton-X as:
M. Barbatti, G. Granucci, M. Ruckenbauer, F. Plasser, J. Pittner, 
M. Persico, H. Lischka, NEWTON-X: a package for Newtonian dynamics 
close to the crossing seam, version 1.4, www.newtonx.org (2013).

M. Barbatti, G. Granucci, M. Persico, M. Ruckenbauer, M. Vazdar, M.
Eckert-Maksic, and H. Lischka, J. Photochem. Photobio. A 190, 228 (2007).
-----------------------------------------------------------------------

Starting Initial Condition selection 
 

makedir.pl:
       title     = title
       type      = 1
       subfile   = pmold
       batchdef  = #PBS -N
       seed      = 1234
       nis       = 1
       nfs       = 2
       delta     = 0.05
       eps       = 0.005
       kappa     = 3
       os_condon = -1
       prob_kind = F 
       screen    = 0 
       norm      = local 
       e_center  = 0 
       e_var     = 0.5 
       nref      = 1 
       temp      = 0
       l_shape   = gauss
       prtlv     = 1 



 The following transitions will be considered:
 Initial state = 1   =>   Final state = 2


====== Checking obligatory files and directories =====

Number of points for state 2 = 500
File final_output.1.2 exists.
This file will be used to generate spectrum. 


======             Ending checking               =====

Energy transitions will not be restricted.

makedir.pl: 
The largest transition intensity in final_output has
oscillator strength 3.4584 and vertical excitation energy (eV) 2.6578.
Normalization factor for probabilities F = 3.4584.

ini.state  fin.state   DE    Osc.St. Intensity  Energ.Window  Prob      Rand.N.  Status
   1          2       2.699   2.975   2.97460      YES        0.86011   1.00000  accept 
   1          2       2.806   2.979   2.97860      YES        0.86127   1.00000  accept 
   1          2       2.799   3.148   3.14840      YES        0.91036   1.00000  accept 
   1          2       3.059   3.060   3.06020      YES        0.88486   1.00000  accept 
   1          2       2.772   3.429   3.42930      YES        0.99159   1.00000  accept 
   1          2       3.148   2.748   2.74760      YES        0.79447   1.00000  accept 
   1          2       3.360   3.086   3.08620      YES        0.89238   1.00000  accept 
   1          2       3.149   3.078   3.07790      YES        0.88998   1.00000  accept 
   1          2       3.102   3.014   3.01350      YES        0.87136   1.00000  accept 
   1          2       3.218   3.312   3.31170      YES        0.95758   1.00000  accept 
   1          2       3.021   3.208   3.20780      YES        0.92754   1.00000  accept 
   1          2       2.982   3.192   3.19190      YES        0.92294   1.00000  accept 
   1          2       3.260   3.288   3.28770      YES        0.95064   1.00000  accept 
   1          2       2.444   2.738   2.73830      YES        0.79178   1.00000  accept 
   1          2       2.668   3.060   3.05990      YES        0.88477   1.00000  accept 
   1          2       3.269   2.731   2.73060      YES        0.78956   1.00000  accept 
   1          2       3.463   3.053   3.05270      YES        0.88269   1.00000  accept 
   1          2       2.899   2.951   2.95120      YES        0.85334   1.00000  accept 
   1          2       2.945   2.508   2.50770      YES        0.72510   1.00000  accept 
   1          2       2.763   2.913   2.91300      YES        0.84230   1.00000  accept 
   1          2       2.752   3.015   3.01530      YES        0.87188   1.00000  accept 
   1          2       2.771   3.187   3.18650      YES        0.92138   1.00000  accept 
   1          2       2.803   3.071   3.07150      YES        0.88813   1.00000  accept 
   1          2       3.324   2.491   2.49060      YES        0.72016   1.00000  accept 
   1          2       3.147   2.519   2.51890      YES        0.72834   1.00000  accept 
   1          2       2.467   3.314   3.31410      YES        0.95828   1.00000  accept 
   1          2       2.911   3.016   3.01560      YES        0.87196   1.00000  accept 
   1          2       2.933   3.022   3.02150      YES        0.87367   1.00000  accept 
   1          2       2.774   3.145   3.14480      YES        0.90932   1.00000  accept 
   1          2       2.866   2.931   2.93100      YES        0.84750   1.00000  accept 
   1          2       3.057   2.963   2.96330      YES        0.85684   1.00000  accept 
   1          2       2.935   2.655   2.65520      YES        0.76775   1.00000  accept 
   1          2       3.126   2.779   2.77860      YES        0.80344   1.00000  accept 
   1          2       3.274   3.184   3.18370      YES        0.92057   1.00000  accept 
   1          2       2.879   2.920   2.91990      YES        0.84429   1.00000  accept 
   1          2       2.712   2.913   2.91330      YES        0.84238   1.00000  accept 
   1          2       3.074   2.949   2.94910      YES        0.85274   1.00000  accept 
   1          2       3.100   2.809   2.80900      YES        0.81223   1.00000  accept 
   1          2       3.259   3.206   3.20600      YES        0.92702   1.00000  accept 
   1          2       2.777   3.296   3.29590      YES        0.95301   1.00000  accept 
   1          2       2.923   2.984   2.98370      YES        0.86274   1.00000  accept 
   1          2       2.514   2.991   2.99110      YES        0.86488   1.00000  accept 
   1          2       2.618   3.066   3.06620      YES        0.88659   1.00000  accept 
   1          2       2.641   2.780   2.78000      YES        0.80384   1.00000  accept 
   1          2       2.549   2.840   2.84000      YES        0.82119   1.00000  accept 
   1          2       3.095   3.142   3.14170      YES        0.90843   1.00000  accept 
   1          2       3.062   3.336   3.33580      YES        0.96455   1.00000  accept 
   1          2       2.846   3.230   3.23000      YES        0.93396   1.00000  accept 
   1          2       2.857   3.056   3.05590      YES        0.88362   1.00000  accept 
   1          2       2.820   2.739   2.73900      YES        0.79198   1.00000  accept 
   1          2       3.149   3.306   3.30620      YES        0.95599   1.00000  accept 
   1          2       2.913   3.083   3.08330      YES        0.89154   1.00000  accept 
   1          2       3.342   3.104   3.10360      YES        0.89741   1.00000  accept 
   1          2       2.914   3.406   3.40650      YES        0.98499   1.00000  accept 
   1          2       3.138   3.227   3.22670      YES        0.93300   1.00000  accept 
   1          2       3.236   3.155   3.15540      YES        0.91239   1.00000  accept 
   1          2       2.733   3.033   3.03290      YES        0.87697   1.00000  accept 
   1          2       2.623   2.835   2.83460      YES        0.81963   1.00000  accept 
   1          2       3.240   2.877   2.87710      YES        0.83192   1.00000  accept 
   1          2       2.627   3.232   3.23200      YES        0.93454   1.00000  accept 
   1          2       2.892   3.080   3.07960      YES        0.89047   1.00000  accept 
   1          2       2.693   3.103   3.10350      YES        0.89738   1.00000  accept 
   1          2       3.062   3.070   3.06950      YES        0.88755   1.00000  accept 
   1          2       2.887   3.113   3.11270      YES        0.90004   1.00000  accept 
   1          2       3.321   2.928   2.92770      YES        0.84655   1.00000  accept 
   1          2       3.309   3.151   3.15110      YES        0.91114   1.00000  accept 
   1          2       2.945   3.183   3.18330      YES        0.92045   1.00000  accept 
   1          2       2.704   2.968   2.96780      YES        0.85814   1.00000  accept 
   1          2       3.152   3.035   3.03480      YES        0.87752   1.00000  accept 
   1          2       2.937   2.900   2.90030      YES        0.83862   1.00000  accept 
   1          2       3.092   3.088   3.08850      YES        0.89304   1.00000  accept 
   1          2       2.668   3.070   3.06980      YES        0.88764   1.00000  accept 
   1          2       2.907   2.747   2.74670      YES        0.79421   1.00000  accept 
   1          2       3.198   2.825   2.82500      YES        0.81685   1.00000  accept 
   1          2       3.215   2.916   2.91630      YES        0.84325   1.00000  accept 
   1          2       2.909   2.978   2.97810      YES        0.86112   1.00000  accept 
   1          2       3.354   3.220   3.21990      YES        0.93104   1.00000  accept 
   1          2       2.909   3.273   3.27330      YES        0.94648   1.00000  accept 
   1          2       2.625   3.137   3.13720      YES        0.90712   1.00000  accept 
   1          2       2.977   3.187   3.18730      YES        0.92161   1.00000  accept 
   1          2       2.689   3.069   3.06900      YES        0.88740   1.00000  accept 
   1          2       2.767   2.707   2.70740      YES        0.78285   1.00000  accept 
   1          2       2.896   3.006   3.00640      YES        0.86930   1.00000  accept 
   1          2       2.786   2.775   2.77520      YES        0.80245   1.00000  accept 
   1          2       2.651   3.113   3.11330      YES        0.90021   1.00000  accept 
   1          2       3.407   3.117   3.11730      YES        0.90137   1.00000  accept 
   1          2       2.882   3.122   3.12200      YES        0.90273   1.00000  accept 
   1          2       2.725   2.787   2.78670      YES        0.80578   1.00000  accept 
   1          2       2.844   3.164   3.16400      YES        0.91487   1.00000  accept 
   1          2       2.459   3.345   3.34520      YES        0.96727   1.00000  accept 
   1          2       2.718   3.018   3.01770      YES        0.87257   1.00000  accept 
   1          2       2.595   3.307   3.30700      YES        0.95622   1.00000  accept 
   1          2       3.327   3.171   3.17090      YES        0.91687   1.00000  accept 
   1          2       3.161   2.992   2.99210      YES        0.86517   1.00000  accept 
   1          2       3.287   2.941   2.94070      YES        0.85031   1.00000  accept 
   1          2       3.087   3.369   3.36860      YES        0.97403   1.00000  accept 
   1          2       2.985   3.180   3.17970      YES        0.91941   1.00000  accept 
   1          2       2.743   2.905   2.90550      YES        0.84013   1.00000  accept 
   1          2       2.948   3.148   3.14800      YES        0.91025   1.00000  accept 
   1          2       2.906   3.075   3.07510      YES        0.88917   1.00000  accept 
   1          2       3.313   3.167   3.16740      YES        0.91586   1.00000  accept 
   1          2       3.056   2.237   2.23730      YES        0.64692   1.00000  accept 
   1          2       2.934   3.298   3.29760      YES        0.95350   1.00000  accept 
   1          2       2.855   3.179   3.17940      YES        0.91933   1.00000  accept 
   1          2       2.973   3.058   3.05750      YES        0.88408   1.00000  accept 
   1          2       2.810   3.212   3.21240      YES        0.92887   1.00000  accept 
   1          2       2.844   3.062   3.06240      YES        0.88550   1.00000  accept 
   1          2       2.746   3.126   3.12620      YES        0.90394   1.00000  accept 
   1          2       2.576   2.758   2.75780      YES        0.79742   1.00000  accept 
   1          2       3.193   3.079   3.07860      YES        0.89018   1.00000  accept 
   1          2       3.095   3.221   3.22140      YES        0.93147   1.00000  accept 
   1          2       2.930   3.131   3.13100      YES        0.90533   1.00000  accept 
   1          2       3.115   2.960   2.96030      YES        0.85597   1.00000  accept 
   1          2       3.351   2.808   2.80750      YES        0.81179   1.00000  accept 
   1          2       3.139   2.968   2.96810      YES        0.85823   1.00000  accept 
   1          2       2.857   3.017   3.01720      YES        0.87243   1.00000  accept 
   1          2       2.982   3.406   3.40630      YES        0.98494   1.00000  accept 
   1          2       3.229   2.995   2.99500      YES        0.86601   1.00000  accept 
   1          2       3.641   3.263   3.26300      YES        0.94350   1.00000  accept 
   1          2       2.743   2.874   2.87440      YES        0.83114   1.00000  accept 
   1          2       2.650   3.325   3.32540      YES        0.96154   1.00000  accept 
   1          2       3.016   3.179   3.17850      YES        0.91907   1.00000  accept 
   1          2       2.840   3.053   3.05330      YES        0.88286   1.00000  accept 
   1          2       3.295   3.252   3.25200      YES        0.94032   1.00000  accept 
   1          2       2.733   2.958   2.95790      YES        0.85528   1.00000  accept 
   1          2       3.406   2.844   2.84440      YES        0.82246   1.00000  accept 
   1          2       2.867   3.129   3.12900      YES        0.90475   1.00000  accept 
   1          2       3.464   3.133   3.13260      YES        0.90579   1.00000  accept 
   1          2       2.660   3.308   3.30800      YES        0.95651   1.00000  accept 
   1          2       2.692   3.229   3.22910      YES        0.93370   1.00000  accept 
   1          2       2.801   3.031   3.03140      YES        0.87653   1.00000  accept 
   1          2       3.067   3.222   3.22220      YES        0.93170   1.00000  accept 
   1          2       2.894   2.716   2.71650      YES        0.78548   1.00000  accept 
   1          2       3.049   2.962   2.96150      YES        0.85632   1.00000  accept 
   1          2       3.298   3.336   3.33590      YES        0.96458   1.00000  accept 
   1          2       3.269   3.313   3.31330      YES        0.95804   1.00000  accept 
   1          2       3.254   3.143   3.14320      YES        0.90886   1.00000  accept 
   1          2       2.567   2.716   2.71580      YES        0.78528   1.00000  accept 
   1          2       2.596   3.067   3.06650      YES        0.88668   1.00000  accept 
   1          2       3.347   3.180   3.17970      YES        0.91941   1.00000  accept 
   1          2       3.185   3.033   3.03290      YES        0.87697   1.00000  accept 
   1          2       3.414   2.984   2.98350      YES        0.86268   1.00000  accept 
   1          2       3.419   3.225   3.22500      YES        0.93251   1.00000  accept 
   1          2       2.807   3.106   3.10560      YES        0.89799   1.00000  accept 
   1          2       2.576   3.160   3.15960      YES        0.91360   1.00000  accept 
   1          2       3.363   3.194   3.19440      YES        0.92366   1.00000  accept 
   1          2       2.389   3.193   3.19320      YES        0.92332   1.00000  accept 
   1          2       3.277   3.161   3.16090      YES        0.91398   1.00000  accept 
   1          2       2.789   3.018   3.01790      YES        0.87263   1.00000  accept 
   1          2       2.760   3.292   3.29200      YES        0.95189   1.00000  accept 
   1          2       3.146   3.032   3.03240      YES        0.87682   1.00000  accept 
   1          2       3.082   2.925   2.92470      YES        0.84568   1.00000  accept 
   1          2       3.034   2.999   2.99880      YES        0.86711   1.00000  accept 
   1          2       3.061   3.160   3.16020      YES        0.91378   1.00000  accept 
   1          2       2.323   3.168   3.16830      YES        0.91612   1.00000  accept 
   1          2       2.733   2.789   2.78860      YES        0.80633   1.00000  accept 
   1          2       2.945   2.536   2.53560      YES        0.73317   1.00000  accept 
   1          2       3.134   3.401   3.40060      YES        0.98329   1.00000  accept 
   1          2       2.999   2.836   2.83570      YES        0.81995   1.00000  accept 
   1          2       2.505   3.212   3.21230      YES        0.92884   1.00000  accept 

Starting to compute spectrum. 

 Range definition:
 ------------------------
 emin     = 2.2047
 emax     = 3.7871
 rmin     = 2.0547
 rmax     = 3.9371
 np[1->2] = 500
 i_points = 500

Starting run over domain ...

Absorption cross section was written to cross-section.dat file.


 End of initial conditions selection. 
          ====================== NEWTON-X ends here ==================  
